	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	No Macro Controls	Macro Controls	No Year FE	No Macro Controls	Macro Controls	No Year FE
						
1994.year	0.0655	0.377***				
	(0.0622)	(0.0651)				
1995.year	0.0535	0.396***				
	(0.0605)	(0.0684)				
1996.year	-0.0509	0.308***				
	(0.0668)	(0.0769)				
1997.year	0.0196	0.411***				
	(0.0580)	(0.0695)				
1998.year	-0.0495	0.374***				
	(0.0530)	(0.0730)				
1999.year	-0.0591	0.383***				
	(0.0619)	(0.0779)				
2000.year	-0.129*	0.334***				
	(0.0745)	(0.0844)				
inflation			-0.0301***			-0.0184***
			(0.0109)			(0.00432)
productivity_growth			-0.0299***			-0.0301***
			(0.00758)			(0.00441)
Constant	-1.350***	-2.260***	-1.659***	-1.623***	-1.688***	-1.726***
	(0.144)	(0.172)	(0.155)	(0.111)	(0.124)	(0.117)
						
Observations	115,066	115,066	115,066	163,607	163,607	163,607
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
